State,Constituency,Candidate,Party,Total Votes,% of Votes,Result
Maharashtra,Nagpur,SUNIL WANKHEDE,Rashtra Samarpan Party,322,0.03,Lost
Maharashtra,Nagpur,DIPAK LAXMANRAO MASKE,Bahujan Maha Party,270,0.02,Lost
Maharashtra,Nagpur,NARAYAN TUKARAM CHOUDHARI,Socialist Unity Centre Of India (COMMUNIST),251,0.02,Lost
Maharashtra,Nagpur,SANTOSH TULSHIRAM CHAVHAN,Independent,242,0.02,Lost
Maharashtra,Nagpur,SUSHIL PATIL,Independent,237,0.02,Lost
Maharashtra,Nagpur,SACHIN RAMKRUSHNARAO WAGHADE,Independent,202,0.02,Lost
Maharashtra,Nagpur,PRAFUL MANIKCHAND BHANGE,Independent,201,0.02,Lost
Maharashtra,Nagpur,VINAYAK BHAURAO AWCHAT,Independent,190,0.02,Lost
Maharashtra,Nagpur,BABITA RAJU AWASTHI,Independent,182,0.02,Lost
Maharashtra,Nagpur,SAHIL BALCHAND TURKAR,Independent,129,0.01,Lost
Maharashtra,Nagpur,NOTA,None of the Above,5474,0.45,Lost
Maharashtra,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894,46.88,Won
Maharashtra,Nanded,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,469452,41.61,Lost
Maharashtra,Nanded,AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan  Aaghadi,92512,8.2,Lost
Maharashtra,Nanded,PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,6901,0.61,Lost
Maharashtra,Nanded,NIKHIL LAXMANRAO GARJE,Independent,4325,0.38,Lost
Maharashtra,Nanded,NAGESH SAMBHAJI GAIKWAD,Independent,3318,0.29,Lost
Maharashtra,Nanded,BHASKAR CHAMPATRAO DOIFODE,Independent,2080,0.18,Lost
Maharashtra,Nanded,SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,1890,0.17,Lost
Maharashtra,Nanded,ABDUL RAIS AHEMAD,Desh Janhit Party,1510,0.13,Lost
Maharashtra,Nanded,DEVIDAS GOVINDRAO INGLE,Independent,1471,0.13,Lost
Maharashtra,Nanded,KALPANA SANJAY GAIKWAD,Independent,1310,0.12,Lost
Maharashtra,Nanded,KAUSAR SULTANA,Indian National League,1215,0.11,Lost
Maharashtra,Nanded,SAHEBRAO BHIVA GAJBHARE,Independent,1193,0.11,Lost
Maharashtra,Nanded,JAGDISH LAXMAN POTRE,Independent,963,0.09,Lost
Maharashtra,Nanded,GAJANAN DATTRAMJI DHUMAL,Independent,950,0.08,Lost
Maharashtra,Nanded,LAXMAN NAGORAO PATIL,Independent,923,0.08,Lost
Maharashtra,Nanded,MAHARUDRA KESHAV POPLAITKAR,Independent,913,0.08,Lost
Maharashtra,Nanded,RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,903,0.08,Lost
Maharashtra,Nanded,HARI PIRAJI BOYALE,Bahujan Bharat Party,878,0.08,Lost
Maharashtra,Nanded,RATHOD SURESH GOPINATH,Independent,808,0.07,Lost
Maharashtra,Nanded,KADAM SURAJ DEVENDRA,Independent,799,0.07,Lost
Maharashtra,Nanded,RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,737,0.07,Lost
Maharashtra,Nanded,DNYANESHWAR RAOSAHEB KAPATE,Independent,681,0.06,Lost
Maharashtra,Nanded,NOTA,None of the Above,3628,0.32,Lost
Maharashtra,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998,53.53,Won
Maharashtra,Nandurbar,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,586878,42.11,Lost
Maharashtra,Nandurbar,ANANDA SUKALAL KOLI,Bahujan Samaj Party,10644,0.76,Lost
Maharashtra,Nandurbar,SUSHILKUMAR JAHANGIR PAWARA,Independent,8887,0.64,Lost
Maharashtra,Nandurbar,NIRMALA VASAVE,Peoples Party of India (Democratic),6947,0.5,Lost
Maharashtra,Nandurbar,ROHIDAS GEMAJI VALVI,Independent,4947,0.35,Lost
Maharashtra,Nandurbar,HEMANT MANSARAM KOLI,Vanchit Bahujan  Aaghadi,4081,0.29,Lost
Maharashtra,Nandurbar,DEEPAKKUMAR MADHUKAR SHIRSATH,Independent,3571,0.26,Lost
Maharashtra,Nandurbar,RAVINDRA RANJIT VALVI,Bharat Adivasi Party,2625,0.19,Lost
Maharashtra,Nandurbar,JALAMSING SUTUM PAWAR,Independent,2587,0.19,Lost
Maharashtra,Nandurbar,GITANJALI SHASHIKANT KOLI,Independent,2381,0.17,Lost
Maharashtra,Nandurbar,NOTA,None of the Above,14123,01.01,Lost
Maharashtra,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729,49.85,Won
Maharashtra,Nashik,GODSE HEMANT TUKARAM,Shiv Sena,454728,36.75,Lost
Maharashtra,Nashik,KARAN PANDHARINATH GAIKAR,Vanchit Bahujan  Aaghadi,47193,3.81,Lost
Maharashtra,Nashik,SHANTIGIRIJI MAUNGIRIJI MAHARAJ,Independent,44524,3.6,Lost
Maharashtra,Nashik,ARUN MADHUKAR KALE,Bahujan Samaj Party,7751,0.63,Lost
Maharashtra,Nashik,CHANDRAKANT KESHAVRAO THAKUR,Independent,6608,0.53,Lost
Maharashtra,Nashik,AMOL SAMPATRAO KAMBLE,Rashtriya Kisan Bahujan Party,4997,0.4,Lost
Maharashtra,Nashik,DARSHANA AMOL MEDHE,Prabuddha Republican Party,4736,0.38,Lost
Maharashtra,Nashik,KANOJE PRAKASH GIRDHARI,Independent,3920,0.32,Lost
Maharashtra,Nashik,VAMAN MAHADEV SANGALE,Dharmarajya Paksha,3861,0.31,Lost
Maharashtra,Nashik,SUDHIR SHRIDHAR DESHMUKH,Independent,3167,0.26,Lost
Maharashtra,Nashik,JITENDRA NARESH BHABHE (JITENDRA BHAVE),Independent,3132,0.25,Lost
Maharashtra,Nashik,ARIF USMAN MANSURI,Independent,2543,0.21,Lost
Maharashtra,Nashik,GANESH BALASAHEB BORASTE,Independent,2404,0.19,Lost
Maharashtra,Nashik,JAYSHRI MAHENDRA PATIL,Sainik Samaj Party,2426,0.2,Lost
Maharashtra,Nashik,SIDDHESHWARANAND SARASWATI,Independent,2388,0.19,Lost
Maharashtra,Nashik,SUSHAMA ABHIJIT GORANE,Independent,2260,0.18,Lost
Maharashtra,Nashik,KANTILAL KISAN JADHAV,Ambedkarite Party of India,2055,0.17,Lost
Maharashtra,Nashik,CHANDRABHAN AABAJI PURKAR,Independent,1890,0.15,Lost
Maharashtra,Nashik,YASHWANT VALU PARDHI,Bhartiya Asmita Party,1874,0.15,Lost
Maharashtra,Nashik,KAILASH MARUTI CHAVAN,Aam Janta Party (India),1703,0.14,Lost
Maharashtra,Nashik,KAMLAKAR BALASAHEB GAIKWAD,Dalit Soshit Pichhara Varg  Adhikar Dal,1646,0.13,Lost
Maharashtra,Nashik,DHANAJI ASHOK TOPALE,Independent,1376,0.11,Lost
Maharashtra,Nashik,BHAGYASHRI NITIN ADSUL,Indian Peoples Adhikar Party,1244,0.1,Lost
Maharashtra,Nashik,SOPAN NIVRUTTI SOMWANSHI,Independent,1211,0.1,Lost
Maharashtra,Nashik,ADV. ZUNJAR MHASUJI AVHAD,Bahujan Republican  Socialist Party,1210,0.1,Lost
Maharashtra,Nashik,KOLAPPA HANUMANT DHOTRE,Independent,1200,0.1,Lost
Maharashtra,Nashik,TILOTTAMA SUNIL JAGTAP,Independent,656,0.05,Lost
Maharashtra,Nashik,DEEPAK GAIKWAD,Independent,642,0.05,Lost
Maharashtra,Nashik,SACHINRAJE DATTATREYA DEORE,Independent,551,0.04,Lost
Maharashtra,Nashik,DEVIDAS PIRAJI SARKATE,Independent,394,0.03,Lost
Maharashtra,Nashik,NOTA,None of the Above,6185,0.5,Lost
Maharashtra,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752,58.45,Won
Maharashtra,Osmanabad,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906,32.7,Lost
Maharashtra,Osmanabad,ANDHALKAR BHAUSAHEB RAOSAHEB,Vanchit Bahujan  Aaghadi,33402,2.61,Lost
Maharashtra,Osmanabad,GOVARDHAN SUBRAO NIMBALKAR,Independent,18966,1.48,Lost
Maharashtra,Osmanabad,DNYANESHWAR NAGANATHRAO KOLI,Samata Party,6472,0.51,Lost
Maharashtra,Osmanabad,KAKASAHEB SANDIPAN KHOT,Independent,5715,0.45,Lost
Maharashtra,Osmanabad,SANJAYKUMAR BHAGWAT WAGHMARE,Bahujan Samaj Party,5615,0.44,Lost
Maharashtra,Osmanabad,KAKA FULCHAND KAMBLE,Independent,4811,0.38,Lost
Maharashtra,Osmanabad,RAM HANUMANT SHENDAGE,Independent,3263,0.25,Lost
Maharashtra,Osmanabad,UMAJI PANDURANG GAIKWAD,Independent,3095,0.24,Lost
Maharashtra,Osmanabad,GORE NETAJI NAGNATH,Desh Janhit Party,2336,0.18,Lost
Maharashtra,Osmanabad,HANUMANT LAXMAN BONDAR,Independent,2172,0.17,Lost
Maharashtra,Osmanabad,NAVNATH DASHRATH UPALEKAR,Independent,2108,0.16,Lost
Maharashtra,Osmanabad,SIDDIK IBRAHIM BAUDIWALE ALIAS GOLABHAI,All India Majlis-E-Ittehadul Muslimeen,2060,0.16,Lost
Maharashtra,Osmanabad,ARJUN (DADA) SALGAR,Independent,1935,0.15,Lost
Maharashtra,Osmanabad,ARYANRAJE KISANRAO SHINDE,Rashtriya Samaj Dal (R),1887,0.15,Lost
Maharashtra,Osmanabad,SHAIKH NAUSHAD IQBAL,Swarajya Shakti Sena,1686,0.13,Lost
Maharashtra,Osmanabad,SHAMRAO HARIBHAU PAWAR,Samnak Janta Party,1509,0.12,Lost
Maharashtra,Osmanabad,YOGIRAJ ANANTA TAMBE,Independent,1336,0.1,Lost
Maharashtra,Osmanabad,SOMNATH NANASAHEB KAMBLE,Independent,1268,0.1,Lost
Maharashtra,Osmanabad,BHORE NITIN KHANDU,Independent,1204,0.09,Lost
Maharashtra,Osmanabad,MANOHAR ANANDRAO PATIL,Independent,1190,0.09,Lost
Maharashtra,Osmanabad,NAVNATH VISHWANATH DUDHAL,Vishva Shakti Party,1135,0.09,Lost
Maharashtra,Osmanabad,NITESH SHIVAJI PAWAR,Hindrashtra Sangh,1079,0.08,Lost
Maharashtra,Osmanabad,ADV. VISHVJEET VIJAYKUMAR SHINDE,Aadarsh Sangram Party,865,0.07,Lost
Maharashtra,Osmanabad,SHAYANI NAVANATH JADHAV,Independent,782,0.06,Lost
Maharashtra,Osmanabad,NITIN NAGNATH GAIKWAD,Independent,731,0.06,Lost
Maharashtra,Osmanabad,ADV. BHAUSAHEB ANIL BELURE,Independent,677,0.05,Lost
Maharashtra,Osmanabad,VILAS BHAGWAT GHADGE,Independent,610,0.05,Lost
Maharashtra,Osmanabad,SAMEERSINGH RAMESHCHANDRA SALVI,Independent,594,0.05,Lost
Maharashtra,Osmanabad,RAJKUMAR SAHEBRAO PATIL,Independent,593,0.05,Lost
Maharashtra,Osmanabad,NOTA,None of the Above,4298,0.34,Lost
Maharashtra,Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244,43.69,Won
Maharashtra,Palghar,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),417938,30.37,Lost
Maharashtra,Palghar,RAJESH RAGHUNATH PATIL,Bahujan Vikas Aaghadi,254517,18.5,Lost
Maharashtra,Palghar,BHARAT SAMJI VANGA,Bahujan Samaj Party,15465,1.12,Lost
Maharashtra,Palghar,MEENA KISHOR BHAD,Independent,14235,01.03,Lost
Maharashtra,Palghar,VIJAYA RAJKUMAR MHATRE,Vanchit Bahujan  Aaghadi,10936,0.79,Lost
Maharashtra,Palghar,MOHAN BARAKU GUHE,Bharat Adivasi Party,10761,0.78,Lost
Maharashtra,Palghar,DINKAR DATTATRAYA WADHAN,Independent,10687,0.78,Lost
Maharashtra,Palghar,AMAR KISAN KAVALE,Independent,9821,0.71,Lost
Maharashtra,Palghar,COMRADE RAHUL MEDHA,Marxist Leninist Party of India (Red Flag),7085,0.51,Lost
Maharashtra,Palghar,NOTA,None of the Above,23385,1.7,Lost
Maharashtra,Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343,45.17,Won
Maharashtra,Parbhani,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,467282,35.1,Lost
Maharashtra,Parbhani,PANJAB UTTAMRAO DAKH,Vanchit Bahujan  Aaghadi,95967,7.21,Lost
Maharashtra,Parbhani,DR. GOVARDHAN BHIWAJI KHANDAGALE,Bahujan Bharat Party,15395,1.16,Lost
Maharashtra,Parbhani,KAMBLE SHIVAJI DEVAJI,Independent,11060,0.83,Lost
Maharashtra,Parbhani,ALAMGIR MOHAMMAD KHAN,Bahujan Samaj Party,11062,0.83,Lost
Maharashtra,Parbhani,SAMIR GANESHRAO DUDHGAONKAR,Independent,11056,0.83,Lost
Maharashtra,Parbhani,KRUSHNA TRIMBAKRAO PAWAR,Independent,10154,0.76,Lost
Maharashtra,Parbhani,KAILAS BALIRAM PAWAR (NAIK),Baliraja Party,9520,0.72,Lost
Maharashtra,Parbhani,PROF. DR. VILAS BANSIDHAR TANGADE,Independent,8820,0.66,Lost
Maharashtra,Parbhani,ARJUN DNYANOBA BHISE,Independent,6923,0.52,Lost
Maharashtra,Parbhani,COMRADE RAJAN KSHIRSAGAR,Communist Party of India,6649,0.5,Lost
Maharashtra,Parbhani,KISHORKUMAR PRAKASH SHINDE,Independent,6548,0.49,Lost
Maharashtra,Parbhani,KISHORE RADHAKISHAN DHAGE,Independent,5480,0.41,Lost
Maharashtra,Parbhani,SAYED IRSHAD ALI SAYYED LAYAKH ALI,Social Democratic Party Of India,4644,0.35,Lost
Maharashtra,Parbhani,DASHARATH PRABHKAR RATHOD,Maharashtra Vikas Aghadi,4394,0.33,Lost
Maharashtra,Parbhani,KARBHARI KUNDLIK MITHE,Independent,4276,0.32,Lost
Maharashtra,Parbhani,APPASAHEB OMKAR KADAM,Independent,3891,0.29,Lost
Maharashtra,Parbhani,SHRIRAM BANSILAL JADHAV,Jai Sewalal Bahujan Vikas Party,3628,0.27,Lost
Maharashtra,Parbhani,COMRADE GANPAT BHISE,Independent,3604,0.27,Lost
Maharashtra,Parbhani,DNYANESHWAR JAGANNATH DAHIBHATE,Independent,3539,0.27,Lost
Maharashtra,Parbhani,ANIL MANIKRAO MUDGALKAR,Independent,3533,0.27,Lost
Maharashtra,Parbhani,GOVIND BHAIYYA RAMRAO DESHMUKH,Independent,3459,0.26,Lost
Maharashtra,Parbhani,SUBHASH DATTARAV JAVLE,Independent,3434,0.26,Lost
Maharashtra,Parbhani,RAJABHAU SHESHRAO KAKDE,Independent,3302,0.25,Lost
Maharashtra,Parbhani,RAJENDRA RAMDAS ATKAL,Independent,2812,0.21,Lost
Maharashtra,Parbhani,SAYYD ABDUL SATTAR AJIJ,Independent,2650,0.2,Lost
Maharashtra,Parbhani,SHAIKH SALEEM SHAIKH IBRAHIM,All India Majlis-E-Inquilab-E-Millat,2619,0.2,Lost
Maharashtra,Parbhani,SANGEETA VYAKANTRAO GIRI,Swarajya Shakti Sena,2339,0.18,Lost
Maharashtra,Parbhani,ADV. VINOD CHHAGANRAO AMBHORE,Bahujan Mukti Party,2041,0.15,Lost
Maharashtra,Parbhani,VIJAY ANNASAHEB THOMBARE,Independent,1959,0.15,Lost
Maharashtra,Parbhani,VISHNUDAS SHIVAJI BHOSALE,Independent,1860,0.14,Lost
Maharashtra,Parbhani,MUSTAFA MAINODDIN SHAIKH,Independent,1302,0.1,Lost
Maharashtra,Parbhani,BOBADE SAKHARAM PADEGAONKAR,Independent,1246,0.09,Lost
Maharashtra,Parbhani,NOTA,None of the Above,3385,0.25,Lost
Maharashtra,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,584728,52.94,Won
Maharashtra,Pune,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461690,41.8,Lost
Maharashtra,Pune,VASANT (TATYA) MORE,Vanchit Bahujan  Aaghadi,32012,2.9,Lost
Maharashtra,Pune,RANPISE PRASHANT DADARAM,Bahujan Samaj Party,3974,0.36,Lost
Maharashtra,Pune,CHORMALE SANDIP SOPAN,Independent,1645,0.15,Lost
Maharashtra,Pune,GORAKH NARAYAN GHODKE,Independent,1451,0.13,Lost
Maharashtra,Pune,KIRAN LAXMAN RAYKAR,Independent,1052,0.1,Lost
Maharashtra,Pune,ANIS ARASHID SUNDAKE,All India Majlis-E-Ittehadul Muslimeen,860,0.08,Lost
Maharashtra,Pune,SACHIN DATTATRAY DHANKUDE,Independent,789,0.07,Lost
Maharashtra,Pune,YUVRAJ CHANDRAKANT  LIMBOLE,Right to Recall Party,698,0.06,Lost
Maharashtra,Pune,DR. DEVYANI PANDIT,Independent,650,0.06,Lost
Maharashtra,Pune,NARENDRA DNYANESHWAR PAWTEKAR,Independent,534,0.05,Lost
Maharashtra,Pune,SAGAR SAMBHAJI PORE,Independent,515,0.05,Lost
Maharashtra,Pune,SURESH DNYANOBA PATIL,Sainik Samaj Party,437,0.04,Lost
Maharashtra,Pune,AMBORE MANJUNATH MARUTI,Independent,433,0.04,Lost
Maharashtra,Pune,ASHWINI PRATIBHA KHAIRNAR,Independent,415,0.04,Lost
Maharashtra,Pune,VIJAY VINAYAK JAGTAP,Independent,382,0.03,Lost
Maharashtra,Pune,HEMANT BABURAV KOLEKAR ALIAS HEMANT PATIL,Apni Prajahit Party,375,0.03,Lost
Maharashtra,Pune,NEERAJ SUNIL KAMTHAN,Hindu Samaj Party,351,0.03,Lost
Maharashtra,Pune,MANOJ LAXMAN VETAL,Bhim Sena,352,0.03,Lost
Maharashtra,Pune,KAMBLE MILIND,Bahujan Samaj Party  (Ambedkar),347,0.03,Lost
Maharashtra,Pune,CHANDRAKANT PARMESHWAR SAWANT,Independent,314,0.03,Lost
Maharashtra,Pune,SHABBIR SAJJANBHAI TAMBOLI,Independent,313,0.03,Lost
Maharashtra,Pune,SANJAY LAXMAN KENDALE,Independent,311,0.03,Lost
Maharashtra,Pune,JOHNSON VASANT KOLHAPURE,Independent,305,0.03,Lost
Maharashtra,Pune,ADV. YOGESH MAKANE,Independent,299,0.03,Lost
Maharashtra,Pune,SUBROTO ROY,Ekam Sanatan Bharat Dal,294,0.03,Lost
Maharashtra,Pune,DR. BALASAHEB ARJUN POL,Independent,259,0.02,Lost
Maharashtra,Pune,VIJAYALAXMI SHRIKANT SINDAGI,Rashtriya Maratha Party,240,0.02,Lost
Maharashtra,Pune,MAHESH DASHRATH MHASKE,Independent,231,0.02,Lost
Maharashtra,Pune,YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,223,0.02,Lost
Maharashtra,Pune,VIJAY PANDURANGRAO DESHMUKH (DABADGAONKAR),Independent,185,0.02,Lost
Maharashtra,Pune,BABA SALIM SAYYED,Independent,164,0.01,Lost
Maharashtra,Pune,BAGBAN SALEEM ABDUL RAZZAQUE,Independent,146,0.01,Lost
Maharashtra,Pune,ZNYOSHO VIJAYPRAKASH,Independent,138,0.01,Lost
Maharashtra,Pune,NOTA,None of the Above,7460,0.68,Lost
Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352,50.17,Won
Maharashtra,Raigad,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),425568,42,Lost
Maharashtra,Raigad,KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan  Aaghadi,19618,1.94,Lost
Maharashtra,Raigad,SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,9394,0.93,Lost
Maharashtra,Raigad,AMIT SHRIPAL KAWADE,Independent,5634,0.56,Lost
Maharashtra,Raigad,ANANT BALOJI GITE,Independent,3515,0.35,Lost
Maharashtra,Raigad,NITIN JAGANNATH MAYEKAR,Independent,2560,0.25,Lost
Maharashtra,Raigad,CHAULE PANDURANG DAMODAR,Independent,2417,0.24,Lost
Maharashtra,Raigad,ANANT PADMA GITE,Independent,2040,0.2,Lost
Maharashtra,Raigad,COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,1939,0.19,Lost
Maharashtra,Raigad,KOLI MANGESH PADMAKAR,Independent,1820,0.18,Lost
Maharashtra,Raigad,ADV AJAY UPADHYE,Independent,1795,0.18,Lost
Maharashtra,Raigad,ANJANI ASHWIN KELKAR,Independent,1350,0.13,Lost
Maharashtra,Raigad,NOTA,None of the Above,27270,2.69,Lost
Maharashtra,Ramtek,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025,48.94,Won
Maharashtra,Ramtek,RAJU DEONATH PARVE,Shiv Sena,536257,42.81,Lost
Maharashtra,Ramtek,SANDIP SAHADEO MESHRAM,Bahujan Samaj Party,26098,02.08,Lost
Maharashtra,Ramtek,KISHORE  UTTAMRAO GAJBHIYE,Independent,24383,1.95,Lost
Maharashtra,Ramtek,AJAY BAKARAM CHAVAN,Independent,6026,0.48,Lost
Maharashtra,Ramtek,SANVIDHAN G LOKHANDE,Baliraja Party,5814,0.46,Lost
Maharashtra,Ramtek,ROSHANI ATUL GAJBHIYE,Gondvana Gantantra Party,5137,0.41,Lost
Maharashtra,Ramtek,GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,3766,0.3,Lost
Maharashtra,Ramtek,ARVIND SHIVAJI TANDEKAR,Independent,3215,0.26,Lost
Maharashtra,Ramtek,SANJAY VASANTRAO BORKAR,Maharashtra Vikas Aghadi,1992,0.16,Lost
Maharashtra,Ramtek,SHANKAR CHINTAMAN CHAHANDE,Vanchit Bahujan  Aaghadi,1884,0.15,Lost
Maharashtra,Ramtek,ADV BHIMRAO SHENDE,Bahujan Republican  Socialist Party,1818,0.15,Lost
Maharashtra,Ramtek,GAIKWAD MANJUSHA SACHIN,Akhil Bhartiya Parivar Party,1773,0.14,Lost
Maharashtra,Ramtek,ASHISH BHAURAO SARODE,Bhim Sena,1620,0.13,Lost
Maharashtra,Ramtek,PRAMOD SHRIPAT KHOBRAGADE,Ambedkarite Party of India,1340,0.11,Lost
Maharashtra,Ramtek,UMESH RAJU  KHADSE,Rashtra Samarpan Party,1229,0.1,Lost
Maharashtra,Ramtek,SIDDHARTH GADIJI PATIL,Peoples Party of India (Democratic),977,0.08,Lost
Maharashtra,Ramtek,PREMKUMAR DASHRATH GAJBHARE,Independent,925,0.07,Lost
Maharashtra,Ramtek,RIDDHESHWAR ANANDRAO BELEY,Republican Party of India (A),913,0.07,Lost
Maharashtra,Ramtek,BHOJRAJ TUKARAM SARODE,Jay Vidarbha Party,888,0.07,Lost
Maharashtra,Ramtek,VILAS SHRIPAT KHADSE,Independent,860,0.07,Lost
Maharashtra,Ramtek,SUBHASH LOKHANDE,Independent,850,0.07,Lost
Maharashtra,Ramtek,KARTIK GENDLALJI DOKE,Independent,847,0.07,Lost
Maharashtra,Ramtek,ADV ULHAS SHALIKRAM DUPARE,Independent,781,0.06,Lost
Maharashtra,Ramtek,LAROKAR SURESH PUNDLIK,Independent,698,0.06,Lost
Maharashtra,Ramtek,SUNIL UTTAMRAO SALVE,Independent,651,0.05,Lost
Maharashtra,Ramtek,GOWARDHAN NAMDEO SOMDEVE,Independent,511,0.04,Lost
Maharashtra,Ramtek,VILAS GANESH ZODAPE,Independent,407,0.03,Lost
Maharashtra,Ramtek,NOTA,None of the Above,7827,0.62,Lost
Maharashtra,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,448514,49.07,Won
Maharashtra,Ratnagiri- Sindhudurg,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),400656,43.83,Lost
Maharashtra,Ratnagiri- Sindhudurg,VINAYAK LAVU RAUT,Independent,15826,1.73,Lost
Maharashtra,Ratnagiri- Sindhudurg,MARUTI RAMACHANDRA JOSHI,Vanchit Bahujan  Aaghadi,10039,1.1,Lost
Maharashtra,Ratnagiri- Sindhudurg,AAYARE RAJENDRA LAHU,Bahujan Samaj Party,7856,0.86,Lost
Maharashtra,Ratnagiri- Sindhudurg,SHAKIL SAWANT,Independent,6395,0.7,Lost
Maharashtra,Ratnagiri- Sindhudurg,TAMBADE AMRUT ANANT (RAJAPURKAR),Independent,5582,0.61,Lost
Maharashtra,Ratnagiri- Sindhudurg,ASHOK GANGARAM PAWAR,Bahujan Mukti Party,5280,0.58,Lost
Maharashtra,Ratnagiri- Sindhudurg,SURESH GOVINDRAO SHINDE,Sainik Samaj Party,2247,0.25,Lost
Maharashtra,Ratnagiri- Sindhudurg,NOTA,None of the Above,11643,1.27,Lost
Maharashtra,Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,630879,53.84,Won
Maharashtra,Raver,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,358696,30.61,Lost
Maharashtra,Raver,ER. SANJAY PANDIT BRAMHANE,Vanchit Bahujan  Aaghadi,59120,05.05,Lost
Maharashtra,Raver,EKNATH NAGO SALUNKE,Independent,43982,3.75,Lost
Maharashtra,Raver,GULAB DAYARAM BHIL,Bharat Adivasi Party,9644,0.82,Lost
Maharashtra,Raver,MAMTA ALIAS MUMTAJ BHIKARI TADVI,Independent,7884,0.67,Lost
Maharashtra,Raver,VIJAY RAMKRUSHNA KALE,Bahujan Samaj Party,7577,0.65,Lost
Maharashtra,Raver,VASANT SHANKAR KOLTE,Independent,6718,0.57,Lost
Maharashtra,Raver,PRAVIN LAXMAN PATIL,Independent,6092,0.52,Lost
Maharashtra,Raver,YUVRAJ DEVSING BARELA,Independent,5135,0.44,Lost
Maharashtra,Raver,ASHOK BABURAO JADHAV,Peoples Party of India (Democratic),4690,0.4,Lost
Maharashtra,Raver,SHRIRAM SITARAM PATIL,Independent,4269,0.36,Lost
Maharashtra,Raver,JITENDRA PANDURANG PATIL,Independent,3587,0.31,Lost
Maharashtra,Raver,SANJAY PRALHAD KANDELKAR,Independent,2961,0.25,Lost
Maharashtra,Raver,SAGAR PRABHAKAR PATIL,Independent,2935,0.25,Lost
Maharashtra,Raver,SANJAYKUMAR LAXMAN WANKHEDE,Republican Party of India (Social),2282,0.19,Lost
Maharashtra,Raver,ANIL PITAMBAR WAGH (SIR),Independent,2278,0.19,Lost
Maharashtra,Raver,PROF. DR. ASHISH SUBHASH JADHAV,Independent,1927,0.16,Lost
Maharashtra,Raver,BHIVRAJ RAMDAS RAYSINGE,Independent,1809,0.15,Lost
Maharashtra,Raver,KOMALBAI BAPURAO PATIL,Independent,1429,0.12,Lost
Maharashtra,Raver,SHAIKH AABID SHAIKH BASHIR,Independent,1040,0.09,Lost
Maharashtra,Raver,AMIT HARIBHAU KOLTE,Independent,981,0.08,Lost
Maharashtra,Raver,DR. YOGENDRA VITTHAL KOLTE,Independent,902,0.08,Lost
Maharashtra,Raver,SHRIRAM OMKAR PATIL,Independent,749,0.06,Lost
Maharashtra,Raver,NOTA,None of the Above,4100,0.35,Lost
Maharashtra,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,571666,48.91,Won
Maharashtra,Sangli,SANJAY (KAKA) PATIL,Bharatiya Janata Party,471613,40.35,Lost
Maharashtra,Sangli,CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),60860,5.21,Lost
Maharashtra,Sangli,ALLAUDDIN HAYATCHAND KAZI,Independent,9282,0.79,Lost
Maharashtra,Sangli,PRAKASH SHIVAJIRAO SHENDGE,Independent,8251,0.71,Lost
Maharashtra,Sangli,PANDURANG RAOSAHEB BHOSALE,Bharatheeya Jawan Kisan Party,5565,0.48,Lost
